date,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD,open,high,low,close,token_id
2022-07-02,35492428.48032882,752309292.3809404,1.0,22422.438541679,1.0,1.0000008202828228,0.9994967922944108,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-01,54318954.89107525,746226460.0490835,1.0,56470.75140698884,1.0,1.000391279751493,0.99824595986161,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-30,69261652.5615082,716960226.3080169,1.0,61979.83697474512,1.0,1.0,0.9990812703042772,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-29,76316779.34001452,713212790.4730178,1.0,58197.13063220615,1.0,1.000714828658306,0.9997027653872308,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-28,55457457.24309853,735825082.7492704,1.0,58652.918802601715,1.0,1.0029980262449576,0.999950727206814,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-27,35034401.50289907,732621348.2967507,1.0,38718.16650667718,1.0,1.0000014725370794,0.99975619267679,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-26,36981488.241515756,732541150.6900966,1.0,47915.99855682217,1.0,1.0,0.9999882698091836,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-25,34627022.56425172,731310418.6527144,1.0,48101.02143870943,1.0,1.002483277159993,0.9983646728563216,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-24,79820894.61118172,721524899.1102122,1.0,75457.37165888873,1.0,1.0000234887714772,0.999375899913258,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-23,68994084.99444838,702476540.6818298,1.0,69657.1044153433,1.0,1.0000220588667577,0.9991866768392604,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-22,53190340.64408053,667862820.8832204,1.0,69067.67096592824,1.0,1.0007975168226204,0.996224458198962,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-21,63815828.63790093,654651554.364419,1.0,73760.61169361389,1.0,1.000012993140694,0.999298135329952,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-20,82805680.02623309,635585208.0274731,1.0,100472.71881326848,1.0,1.0011885024557272,0.9996359418440482,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-19,121992954.84857915,622471114.6990296,1.0,127356.22837631645,1.0,1.0024816818919267,0.9985235988157248,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-18,189358943.75827235,595597073.3088816,1.0,224590.900917286,1.0,1.0012123221035072,0.9938195805386796,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-17,111168032.67057955,638607713.3366703,1.0,129125.51307241229,1.0,1.0007048794791535,0.9985372302163436,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-16,53114684.987839304,606013329.647932,1.0,29550.833540130807,1.0,1.0016306914144018,0.9983929756083096,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-15,147103507.32554975,587019991.143272,1.0,182340.48488899236,1.0,1.00396543550526,0.9972208829118504,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-14,167729288.65326336,547537317.6287631,1.0,196160.93113340344,1.0,1.0022408216545087,0.9977895074713944,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-13,220833652.68538764,556648018.4246857,1.0,116741.07382992467,1.0,1.0031412934161164,0.9960634219523112,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-12,95895783.42499639,640221828.8318536,1.0,139646.3312461458,1.0,1.0006507495016113,0.998651746381131,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-11,132783698.14624733,661322108.6732754,1.0,124999.07757233076,1.0,1.0000706291904744,0.999123269027238,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-10,85484747.81400295,667561407.9986099,1.0,81763.06570087203,1.0,1.000892445220392,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-09,36562510.34343986,647287628.0710412,1.0,26920.914909901956,1.0,1.0,0.999448361631956,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-08,47533102.504909135,643487716.4491087,1.0,48787.31050004109,1.0,1.000023411110858,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-07,93118503.77453212,589694820.0595696,1.0,88831.78037375653,1.0,1.0007009387615833,0.9992097905986456,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-06,49630630.768457584,599173367.15464,1.0,39517.050872055195,1.0,1.0,0.999990256863727,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-05,26585349.962289236,590471020.7951977,1.0,16230.05766287896,1.0,1.0,0.999133543000284,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-04,52427685.923264384,584101310.3825749,1.0,28679.46073450941,1.0,1.0,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-03,32725439.89364856,536181639.9192017,1.0,18068.73748426277,1.0,1.0008478056997017,0.9993535548280094,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-02,44120307.3579053,525481391.77730066,1.0,15841.223937940553,1.0,1.0018596434985707,0.9986317016624636,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-01,31325460.467463292,538952106.7815238,1.0,25414.311069834566,1.0,1.0000569167342033,0.999899118083406,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-31,46234704.36290699,540714014.2401212,1.0,14762.34781380724,1.0,1.0000020778720864,0.9974231565654395,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-30,38111254.272111475,488039226.37840456,1.0,19579.61004853932,1.0,1.0000107937848444,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-29,10892485.128077067,476692241.8358234,1.0,6065.944320101522,1.0,1.0024281098444177,0.999628055909799,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-28,16396371.049358267,476259122.10116893,1.0,11090.635745717169,1.0,1.0010905375045207,0.998525167405279,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-27,86738570.07754157,451319921.12564254,1.0,42720.836782565406,1.0,1.0000006411691047,0.996496045787896,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-26,120057012.15099782,442686673.2312824,1.0,112178.1103299568,1.0,1.0017254497038202,0.9990451707776008,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-25,32210768.761907604,425103947.04964685,1.0,41740.18606469332,1.0,1.000263462508863,0.999415440720319,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-24,40507029.09902481,422655293.2716044,1.0,38687.72839793362,1.0,1.0000846532151288,0.9997675721256508,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
