id,totalValueLockedUSD,token0,token1,feeTier,volumeUSD,liquidity,token0Price,token1Price,volumeToken0,volumeToken1,feesUSD,createdAtTimestamp,createdAtBlockNumber,totalValueLockedToken0,totalValueLockedToken1
0x1ba81d6cec9eb0e2f9fff78b9379bedc04150461,4771.351497914755035917550755007239,gOHM,DAI,3000,1602761.703874856163281371372275496,0,0.000365733977460124164908999242695365,2734.227776551139867553013776878272,608.888015252449311506,1602799.562968210958315888,4808.285111624568489844114116826489,1653375901,14834373,0.915758118555812313,2404.475428864998015622
0x7c1b7ff6396aee86bafd9672a1048f3efd13ef6c,4765.542938118138620578476777505469,AGS,WETH,10000,299287.436632403474785765955241588,7845309157560102546103,48585.71606627621505983611041770303,0.00002058218095696873024358593446931544,6606630.442327414069165438,164.077027202618623528,2992.87436632403474785765955241588,1636090890,13554799,1007771.851766813975024664,3.544746785868171862
0xa2c86a4f990f0a2f10475d35ca03987f32d649d9,4764.121805648163131308448697561918,WETH,RSS3,10000,1304249.762172362742250229496824891,14844573762962815928,0.00009750232427791654016322785894919216,10256.16576226061951109979767063647,429.240779200855374807,2732463.025613894266595858,13042.49762172362742250229496824891,1644920073,14210099,2.129458299840226975,14416.215655723642944372
0x890e60d2596def2e3192f4a8e463005898212adf,4756.638249527939467249552756535761,CVX,USDC,500,9582564.253349,0,0.02097970377881097048617228224744911,47.66511532016851140191275218844105,200820.694705198799000813,9582564.253349,4791.2821266745,1640870694,13906940,17.751275014770149124,3928.276201
0xfb3b5a0e03ae12c41492d70bd210e65d25cc01dc,4733.616462752365985703940631773174,QDT,WETH,3000,423828.9101838692762256413894256556,208086909506292426845116,9232.8322573475454866118591379331,0.0001083091268342055888614743678668957,2102492.147122243890015299,226.839969663283833959,1271.48673055160782867692416827697,1621550794,12474062,303601.038627171457148024,3.670215902255030511
0x3feaa6458805b3c7eff52211061dc6f0d7b847ae,4728.225925519778065588338910895628,WETH,TORCH,10000,708762.6936076158827594940063268219,0,0.0000000002626397262745917101924623252690581,3807497114.714827473272606192125902,630.818589663724930709,298957767919.487450569478004555,7087.626936076158827594940063268219,1657469384,15115883,2.989901643191046826,2370198924.814507416309970528
0xb6c52095f2df5967b2028724bc6389f83637f582,4719.362175624510793201113580692869,zUSD,WETH,3000,6264808.864049838724658650854197811,1510641659093966994724,9991.994321643884396115235360296018,0.0001000801209257973087847748057403381,6500379.429357264972043133,1959.116912210216647888,18794.42659214951617397595256259338,1628265264,12972332,107341.867941141707973335,2.889767151742765232
0x893f503fac2ee1e5b78665db23f9c94017aae97d,4719.085891,OHM,USDC,3000,3255184.457515,0,0.05137500982401425382873730415265992,19.46471647257124918199567537684331,30335.715988551,3255184.457515,9765.553372545,1642384394,14020197,48.497276784,4719.085891
0x3037d8630b8a62e40614f2e6b396ec478df48969,4713.857886,USDC,1000x,10000,938099.522433,0,0.00000000000000000000000000293895680758558494927616942086432,340256786836388081269117234.1955607,938099.522433,636807.59499369488206461,9380.99522433,1628089245,12959332,4713.857886,803241.55175691759233046
0xfc7818302bec7bb6fa34a586bf75f024e4d8795f,4696.192065,AUR,USDT,3000,25256.73591928096993472967110619946,10583405533671367,0.5471340852375715785965166601261554,1.827705542354922210874759316951736,15992.21283317596352764,25256.786987,75.77020775784290980418901331859837,1636764901,13604620,7374.53769032488946869,4696.192065
0x5b9a9f4e34d6cb372b67ae770bc905d5177f0c6c,4671.950464162498452071004567206569,UMA,DAI,10000,478916.1646581229172783602719915201,0,0.0759963488085192961860990990177478,13.15852689870146250996219209146516,34907.427003620044478141,478763.35996817295266107,4789.161646581229172783602719915201,1622543873,12548054,174.713350705247590704,2416.901746160722544044
0xa1350f03e622a0081ce0ab6a6560d8c977b4170d,4649.703182848592358696574379363739,WETH,FIEF,3000,11257.13364579865846765569732144078,7781447855015568406153,0.0000123367819489694990238702498781623,81058.41573081631523317450750935536,7.344867786805385013,621508.281019829624939383,33.77140093739597540296709196432232,1660834026,15365606,3.588643475587611294,1715922.066666363947158993
0x81489b0e7c7a515799c89374e23ac9295088551d,4634.305282999999999999999999999999,USDC,DEFT,3000,3029979.342985,0,0.0001668032890875943996607717297359025,5995.085621332467095924336777451314,3029979.342985,9964001125.790804231213255992,9089.938028955,1634328089,13424641,4634.305283,13992935.475094145493374254
0x6c55e6bf004b38b68237ec9605ddd70b9a04e45a,4627.518681,STACK,USDT,10000,948518.3811264670535502423192369925,122781794372261712,49.7694816383994373783155052948395,0.02009263442335019504593710117771472,10443038.142902055746441668,948524.03326,9485.183811264670535502423192369925,1637462458,13655593,808575.469747423037793221,4627.518681
0x3c5f57f1c978f45bb3182487f87362b501c4ab8a,4627.293625690729422682067594277275,LUNA,LUNA,3000,0,0,1.021326787709211321641057253366898,0.979118546614207271851831824272972,4535248490.152114,5346430043.037686849551634445,0,1652491492,14770797,10897701.869029,7957232.712684526641143624
0x1910e073709ee97ed0898273c4d58338a2a4ae94,4608.795039579258691415389216881462,WETH,DEXT,10000,2020152.000331199617376346259334214,0,0.0001050910154766698646050193989598282,9515.561301451115328903566819236329,483.224466156190102736,3620617.811986289968061633,20201.52000331199617376346259334214,1633734479,13381036,2.430378662082002945,18141.878033911961727046
0x88051b0eea095007d3bef21ab287be961f3d8598,4607.748485872041223298232770122625,OHM,WETH,3000,6434283.738729380145460861808543913,0,150.0410789162350977932755233723925,0.006664841436912619051388657204035815,203408.041312608,2254.18581193661204707,19302.85121618814043638258542563148,1646309152,14313887,325.781071558,3.165828477283906283
0xddc9e703595afc08fd5ad049c4c129804a003177,4607.22599486587060373240187172828,MYST,WETH,3000,1422993.066350281591294919904035093,143799350640226273793,4515.661041532300157788290581735785,0.0002214515196784278125211737163706728,3076057.350629563903104222,501.490040269867817485,4268.979199050844773884759712105287,1621509340,12470944,9745.375580288213486216,1.53783590732821054
0x020ba87daca38562021260216831f2e98b6d8e61,4592.884249,BKT,USDT,3000,74990.67955706257911127634095732616,44746327407365034,100.4608998151124116209985754133639,0.00995412147253701204636831460379046,1832115.785643890432201872,74992.52867,224.9720386711877373338290228719787,1624120626,12665914,451009.183935145806689681,4592.884249
0xea70f0d25545f4f93d4804ebd026d7329908a73a,4590.732105324234155957467201458508,FTM,USDT,3000,2776585.276899875026145587385946622,0,3.15674009624149542668088634799908,0.3167824938108235301776709630161541,1030974.314197345618762781,2776644.871452,8329.75583069962507843676215783987,1633580365,13369658,1537.337886321301859784,4221.893284
0x3df6bb62348d786a50b635b638ff99d850f98211,4590.28761345439426467611904068766,CVX,USDC,3000,1671296.030983,0,0.0443239071997883806942995272582238,22.56118792715039307105402147347769,39188.033896784559554918,1671296.030983,5013.888092949,1642171510,14004225,28.392451128797590396,3938.89578
0x1fd16069b22fa96fcb37600f711d167ccfde51b8,4583.226998403766330084270200258217,WETH,RUGD,10000,989741.8994230956960645034267301643,0,0.00000000000000000000000000000000000000293895680758558494927616942086432,340256786836388081269117234195560700000,265.045963076568526417,666399705495.960853070169537323,9897.418994230956960645034267301643,1641246150,13934985,1.423826126257420508,3115735954.618551741212156154
0x1763a4ab2b56fe1cd286b9f1a5acd0068a37e6a8,4577.369276824214943297121092268963,TICK,WETH,10000,782076.7294493941172680886104757727,0,110329.3264460880547336866277553642,0.000009063773270551467097628343075020965,38564922.997098160530412845,287.035966573153629465,7820.767294493941172680886104757727,1622620217,12553766,139408.103742483416171579,1.690289389754652848
