id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,totalValueLockedUSD
19035,1644624000,472675.1848368898247156190918169413,1379805210.680400343507323007971526,0,1798491.076823290437283796432332254,11515072,4067975553.594487342041707218930464
19034,1644537600,723332.4997584185728231824257568741,2191319054.530080427239724194948011,0,2825476.532587800651374574629165883,11484905,4028031810.549744671825793711934257
19033,1644451200,673779.7579824599960948885064817711,2144399391.357307359111514510368191,0,2936059.162550144669638669622220316,11448796,4153259869.259622293692338939697757
19032,1644364800,449274.5891057183070026148454052715,1421454732.924021813386317902900643,0,2204307.065391002737201567547086544,11412807,4263612194.420986873213978541037788
19031,1644278400,500922.4444585122130780962742397604,1558883334.013569188912137459557777,0,2349972.512417917347769451858010674,11379020,4155071359.165774634206108350235189
19030,1644192000,506135.2860107920740469564661444301,1569989182.859217126951955249632251,0,2393568.193835830313440009169251444,11345603,4177547597.876559719251806726175047
19029,1644105600,373726.1492852001837942144535748608,1123974897.355268180312269088637623,0,1650673.641111086837361208435567319,11311243,4086717731.596935566197585815569904
19028,1644019200,489280.0369109362626237669981898458,1472615457.869802099856913547746215,0,1919906.49881566736443939916882486,11278950,4019605879.481896183190038985213409
19027,1643932800,574530.6259607711062817084804371925,1628179565.442717564274422480107238,0,2219635.853603454140039833797075401,11248264,3843722793.960709757248522526168509
19026,1643846400,551019.7550798078252062407180230257,1454706655.530449487723442158212873,0,1941348.29185563122726072524515628,11215040,3698405438.114396388224913968688199
