tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-880560,0,5.7501223525055655e-49,WBTC/WETH-0.3,5.97212063886281e+22,3.444359517087933e-26,0.0,3.268337489430859e-24
-880500,0,5.784725060836132e-49,WBTC/WETH-0.3,5.9542320177100934e+22,3.4547075925967526e-26,0.0,3.3028845653568265e-24
-880440,0,5.819535999070413e-49,WBTC/WETH-0.3,5.9363969793270905e+22,3.465086757388088e-26,0.0,3.3375354329307076e-24
-880380,0,5.854556420280636e-49,WBTC/WETH-0.3,5.9186153632149e+22,3.475497104865451e-26,0.0,3.372290403979362e-24
-880320,0,5.8897875850796844e-49,WBTC/WETH-0.3,5.900887009354447e+22,3.48593872871243e-26,0.0,3.407149791266486e-24
-880260,0,5.925230761666474e-49,WBTC/WETH-0.3,5.883211758206721e+22,3.496411722894512e-26,0.0,3.4421139084954314e-24
-880200,0,5.960887225871606e-49,WBTC/WETH-0.3,5.865589450710198e+22,3.5069161816592615e-26,0.0,3.477183070312024e-24
-880140,0,5.996758261203291e-49,WBTC/WETH-0.3,5.848019928279829e+22,3.517452199537416e-26,0.0,3.512357592307398e-24
-880080,0,6.032845158893547e-49,WBTC/WETH-0.3,5.830503032805114e+22,3.528019871343428e-26,0.0,3.5476377910208324e-24
-880020,0,6.069149217944691e-49,WBTC/WETH-0.3,5.813038606650578e+22,3.53861929217747e-26,0.0,3.5830239839426065e-24
-879960,0,6.105671745176084e-49,WBTC/WETH-0.3,5.7956264926511205e+22,3.549250557424341e-26,0.0,3.61851648951685e-24
-879900,0,6.142414055271181e-49,WBTC/WETH-0.3,5.778266534113707e+22,3.559913762756198e-26,0.0,3.654115627144412e-24
-879840,0,6.179377470824852e-49,WBTC/WETH-0.3,5.76095857481422e+22,3.5706090041323703e-26,0.0,3.689821717185736e-24
-879780,0,6.216563322390994e-49,WBTC/WETH-0.3,5.74370245899616e+22,3.5813363778002756e-26,0.0,3.725635080963739e-24
-879720,0,6.25397294853042e-49,WBTC/WETH-0.3,5.7264980313704694e+22,3.592095980297051e-26,0.0,3.7615560407667095e-24
-879660,0,6.291607695859049e-49,WBTC/WETH-0.3,5.709345137112449e+22,3.6028879084493757e-26,0.0,3.797584919851203e-24
-879600,0,6.329468919096376e-49,WBTC/WETH-0.3,5.692243621860732e+22,3.6137122593745604e-26,0.0,3.833722042444948e-24
-879540,0,6.367557981114237e-49,WBTC/WETH-0.3,5.67519333171768e+22,3.624569130482552e-26,0.0,3.869967733749774e-24
-879480,0,6.4058762529858715e-49,WBTC/WETH-0.3,5.65819411324602e+22,3.635458619475566e-26,0.0,3.9063223199445296e-24
-879420,0,6.444425114035269e-49,WBTC/WETH-0.3,5.641245813467251e+22,3.646380824348817e-26,0.0,3.942786128188018e-24
-879360,0,6.483205951886827e-49,WBTC/WETH-0.3,5.624348279862296e+22,3.6573358433927023e-26,0.0,3.979359486621945e-24
-879300,0,6.522220162515297e-49,WBTC/WETH-0.3,5.607501360368736e+22,3.6683237751928e-26,0.0,4.0160427243738735e-24
-879240,0,6.561469150296038e-49,WBTC/WETH-0.3,5.590704903378379e+22,3.6793447186300544e-26,0.0,4.0528361715601736e-24
-879180,0,6.600954328055563e-49,WBTC/WETH-0.3,5.573958757739267e+22,3.690398772883866e-26,0.0,4.089740159289012e-24
