tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-879480,0,6.405876252985871e-51,USDC/WETH-0.3,4.673420686192649e+25,3.0027297006796333e-25,0.0,3.2356389910089405e-23
-879420,0,6.444425114035269e-51,USDC/WETH-0.3,4.659422132379081e+25,3.0117509638551033e-25,0.0,3.265756500647492e-23
-879360,0,6.483205951886826e-51,USDC/WETH-0.3,4.645465509203117e+25,3.020799330099286e-25,0.0,3.295964493948485e-23
-879300,0,6.522220162515298e-51,USDC/WETH-0.3,4.631550691067856e+25,3.029874880839554e-25,0.0,3.3262632427568804e-23
-879240,0,6.561469150296039e-51,USDC/WETH-0.3,4.617677552751566e+25,3.0389776977472396e-25,0.0,3.356653019734353e-23
-879180,0,6.600954328055563e-51,USDC/WETH-0.3,4.603845969409346e+25,3.0481078627401867e-25,0.0,3.387134098361755e-23
-879120,0,6.640677117122403e-51,USDC/WETH-0.3,4.590055816568349e+25,3.0572654579810995e-25,0.0,3.417706752941566e-23
-879060,0,6.680638947378262e-51,USDC/WETH-0.3,4.576306970130561e+25,3.0664505658808493e-25,0.0,3.448371258600375e-23
-879000,0,6.720841257309497e-51,USDC/WETH-0.3,4.562599306367618e+25,3.0756632690965187e-25,0.0,3.4791278912913404e-23
-878940,0,6.761285494058891e-51,USDC/WETH-0.3,4.548932701923541e+25,3.084903650534711e-25,0.0,3.509976927796687e-23
-878880,0,6.801973113477748e-51,USDC/WETH-0.3,4.535307033810709e+25,3.0941717933503465e-25,0.0,3.540918645730191e-23
-878820,0,6.842905580178298e-51,USDC/WETH-0.3,4.5217221794105495e+25,3.103467780948615e-25,0.0,3.571953323539677e-23
-878760,0,6.88408436758642e-51,USDC/WETH-0.3,4.508178016470888e+25,3.1127916969846795e-25,0.0,3.603081240509524e-23
-878700,0,6.925510957994675e-51,USDC/WETH-0.3,4.4946744231074735e+25,3.1221436253662253e-25,0.0,3.634302676763187e-23
-878640,0,6.967186842615671e-51,USDC/WETH-0.3,4.481211277798735e+25,3.131523650251362e-25,0.0,3.6656179132657e-23
-878580,0,7.009113521635735e-51,USDC/WETH-0.3,4.467788459389458e+25,3.1409318560526777e-25,0.0,3.6970272318262264e-23
-878520,0,7.051292504268913e-51,USDC/WETH-0.3,4.454405847085569e+25,3.1503683274351354e-25,0.0,3.728530915100578e-23
-878460,0,7.093725308811308e-51,USDC/WETH-0.3,4.441063320456051e+25,3.15983314931893e-25,0.0,3.760129246593767e-23
-878400,0,7.136413462695719e-51,USDC/WETH-0.3,4.427760759429491e+25,3.1693264068785867e-25,0.0,3.791822510662553e-23
-878340,0,7.179358502546636e-51,USDC/WETH-0.3,4.414498044295103e+25,3.1788481855452143e-25,0.0,3.8236109925180054e-23
-878280,0,7.222561974235536e-51,USDC/WETH-0.3,4.401275055700348e+25,3.1883985710063544e-25,0.0,3.855494978228069e-23
-878220,0,7.266025432936552e-51,USDC/WETH-0.3,4.388091674649846e+25,3.1979776492067354e-25,0.0,3.887474754720136e-23
-878160,0,7.309750443182434e-51,USDC/WETH-0.3,4.37494778250511e+25,3.207585506349624e-25,0.0,3.919550609783632e-23
-878100,0,7.353738578920877e-51,USDC/WETH-0.3,4.361843260983216e+25,3.217222228897425e-25,0.0,3.951722832072606e-23
