id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,tvlUSD
19150,1654560000,886883.0242481770411894417045449461,1583369574.605924498525395440300097,0,1804572.418804897199448404203069867,15758970,13216768958.82962019614280765746535
19149,1654473600,549370.3811077151321544886123463058,1029514774.951005482805500028239653,0,1172094.277631142323230093246618459,15725276,13403894220.30193036915982671189468
19148,1654387200,357368.9182668794858104416683785808,643546102.0993645307254843506812252,0,647295.6264842576634501690882129916,15690923,13042080235.92375389895353721376052
19147,1654300800,376469.4629883665705855199698055724,668686701.3620724396952504694255907,0,724772.1602760973280868717433513807,15664544,12976290805.54923377123807933746575
19146,1654214400,519654.9652284961316728177280564333,923851000.3832769010030636393664844,0,999830.6213580888663302675888779999,15638835,12794506735.56029151946654880730424
19145,1654128000,608405.0331966585132620655747508218,1106186177.992603171438336500279227,0,1220010.812128860468215365415955179,15612432,13155298872.35942351261635046976983
19144,1654041600,712199.3537206243931186367176601216,1337660053.652405255166554833559983,0,1411396.659091391230033910177157631,15588098,13000330799.65677939201397883488112
19143,1653955200,591934.6383097326560393713034643302,1164706618.558029013156968835000875,0,1221220.902109616971776623934442276,15558071,13749187404.73622660879699335327881
19142,1653868800,816378.3261443554538752876814408705,1563359507.380162122832750530575439,0,1658865.043152026262416306158675676,15530128,14018807181.70780329769838971685756
19141,1653782400,327892.9372517126873932584173486273,588422983.4024793838602021511281771,0,624272.8552756433004051562799985509,15496873,12933471426.27742624905808449398914
19140,1653696000,584811.3944073604065514157061290414,1033025551.621908540826049516553501,0,1061606.333604311781342485852153072,15471554,12838565504.63712477424634862361227
19139,1653609600,1014195.665889885776520204216371387,1785560181.467472121242220463781345,0,1862536.163509589037689265937890017,15442596,12349881123.65060816654341928082861
19138,1653523200,1210275.040077292621315221127954502,2244987498.322899989659792301783147,0,2546989.283794278177903302356150165,15402365,12789971161.45060509966105685933912
19137,1653436800,575209.4225807525514664931623161357,1132122924.253115719074605490823603,0,1186809.828299325321818698057871384,15365488,13672527218.52534302711015210539831
19136,1653350400,501983.0430630191009248774022840535,984503880.0042605960804857440868072,0,1184361.689248944506965833369866254,15338711,13898072912.85387532926462557113827
19135,1653264000,644849.5335622917318267419349306866,1314557584.830242104048093299010926,0,1555476.805126234065123379258922098,15307013,13814705058.24605513996531330351366
19134,1653177600,380784.7700316977387026577286602797,764582768.9736236890783379120012502,0,1013000.778125756875026114999808911,15269865,14248979467.25020523887955418133963
19133,1653091200,338010.1131956472784523741329572429,665093408.623678735783506185953905,0,685501.1047770663294179139576428531,15240504,13794871888.89270312675588421831057
19132,1653004800,672392.749332792803998625306117428,1336759841.691642090109542140351955,0,1385241.373167898648494156858167697,15213652,13727269044.19568732564113872646549
19131,1652918400,886015.5348436795751045561044516373,1741366739.774744512599078458767026,0,1989413.806122057916677660649197674,15181855,13961802008.57402927706875810224997
